title,id,track url,img url,artists,danceability,energy,valence,tempo,loudness
homecoming queen?,1ytCra0qH6gcHnCVQwREvu,https://open.spotify.com/track/1ytCra0qH6gcHnCVQwREvu,https://i.scdn.co/image/ab67616d0000b2739b166795e8069959a5c2645b,['Kelsea Ballerini'],0.462,0.512,0.29,114.014,-5.443
Shotta Flow 5,6pOpsuCxYF1cuRkHBPDigj,https://open.spotify.com/track/6pOpsuCxYF1cuRkHBPDigj,https://i.scdn.co/image/ab67616d0000b2738e2ebc51140aa8e41d3d4406,['NLE Choppa'],0.806,0.749,0.77,140.032,-5.268
title track,4kDgnKgZTX6puRz9EoNjle,https://open.spotify.com/track/4kDgnKgZTX6puRz9EoNjle,https://i.scdn.co/image/ab67616d0000b273d4d4929a3a86fe2f9fadbd42,['Machine Gun Kelly'],0.268,0.829,0.351,199.886,-5.17
Amor T??xico,6nhP8cyHiRwHFjgT7s0Yow,https://open.spotify.com/track/6nhP8cyHiRwHFjgT7s0Yow,https://i.scdn.co/image/ab67616d0000b2734aa12540983a04db2ab5a561,['Christian Nodal'],0.607,0.548,0.827,150.189,-3.453
if we never met (feat. Kelsea Ballerini),5vDA0WiwxOzj4AJDKDl1Bz,https://open.spotify.com/track/5vDA0WiwxOzj4AJDKDl1Bz,https://i.scdn.co/image/ab67616d0000b27332db4a1bfc362abd17ab1c18,"['John K', 'Kelsea Ballerini']",0.957,0.365,0.355,107.967,-7.632
Smile,59s3aMqR9uOzLIXAcgBCEm,https://open.spotify.com/track/59s3aMqR9uOzLIXAcgBCEm,https://i.scdn.co/image/ab67616d0000b2735ebe6cbd74a47a5e8ea88985,['Katy Perry'],0.783,0.912,0.749,98.025,-3.713
Relentless,1F8yKtk5CQBptos4kM7aO7,https://open.spotify.com/track/1F8yKtk5CQBptos4kM7aO7,https://i.scdn.co/image/ab67616d0000b273339f780dfdbc38558ea0761d,['Polo G'],0.763,0.558,0.276,77.026,-5.506
Ride,0c5qAIcNy3jNIxmZXllp4V,https://open.spotify.com/track/0c5qAIcNy3jNIxmZXllp4V,https://i.scdn.co/image/ab67616d0000b273429d4b3d9261b9ccc24d7d36,['King Von'],0.596,0.594,0.354,161.985,-7.309
Unaccommodating (feat. Young M.A),0q2vG0UVuy6ajjcpkQHdZM,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM,https://i.scdn.co/image/ab67616d0000b2732f44aec83b20e40f3baef73c,"['Eminem', 'Young M.A']",0.852,0.752,0.389,89.95,-5.793
Big Drip,3hbZsQXQNbPMBmgI7O0CTv,https://open.spotify.com/track/3hbZsQXQNbPMBmgI7O0CTv,https://i.scdn.co/image/ab67616d0000b273d5d1cc65dfc6163a8bcfaf80,['Fivio Foreign'],0.814,0.659,0.464,139.956,-6.453
Perreo Pesau',5bQ9rtAfOUbPmuxjPK8zDp,https://open.spotify.com/track/5bQ9rtAfOUbPmuxjPK8zDp,https://i.scdn.co/image/ab67616d0000b2733926e048d839e1173fe17326,['Rauw Alejandro'],0.732,0.679,0.443,171.887,-3.068
Pray,4zcVQvCRJRafP6JtLGyy7R,https://open.spotify.com/track/4zcVQvCRJRafP6JtLGyy7R,https://i.scdn.co/image/ab67616d0000b273ddae2b21035c94d641a9a568,['jxdn'],0.552,0.333,0.274,139.657,-7.836
Aye Dekhe Jaa,64MEUAwq1IcMYJTxL6ZiGP,https://open.spotify.com/track/64MEUAwq1IcMYJTxL6ZiGP,https://i.scdn.co/image/ab67616d0000b2733b834a828ae5c021bf98d284,['Arijit Singh'],0.472,0.637,0.282,135.858,-4.871
Good Morning,3jKL28PBT47f9FTn9KvfwR,https://open.spotify.com/track/3jKL28PBT47f9FTn9KvfwR,https://i.scdn.co/image/ab67616d0000b273d9e1e8811360d855de6c345c,['Trippie Redd'],0.768,0.646,0.598,143.047,-7.436
Tomar Dyakha Naai,6UKui9Z8rP2IXqT64h9Nef,https://open.spotify.com/track/6UKui9Z8rP2IXqT64h9Nef,https://i.scdn.co/image/ab67616d0000b273149dd3cae2bff0373c7f890a,['Arijit Singh'],0.637,0.892,0.536,104.004,-5.477
Egiye De Reprise,5A1HCvDf8OtZHrW8cLMno7,https://open.spotify.com/track/5A1HCvDf8OtZHrW8cLMno7,https://i.scdn.co/image/ab67616d0000b273c0689f1042ce209bbd0aed36,['Arijit Singh'],0.571,0.534,0.395,82.023,-6.646
Shudhu Tomari Jonyo Theme,0y5YLvtSNENpc1TjNdBCQ9,https://open.spotify.com/track/0y5YLvtSNENpc1TjNdBCQ9,https://i.scdn.co/image/ab67616d0000b273591ad0bdeb66383380b909b0,"['Arijit Singh', 'Shreya Ghoshal']",0.457,0.595,0.468,143.703,-5.223
Hoye Jetey Paari,34XVNH2HVO4SYowtmxLqrv,https://open.spotify.com/track/34XVNH2HVO4SYowtmxLqrv,https://i.scdn.co/image/ab67616d0000b273a7a021a311bda41ac58d9d39,['Arijit Singh'],0.693,0.725,0.185,123.959,-6.426
Jodi Bolo,0JZcsm8isRWWkuUintR326,https://open.spotify.com/track/0JZcsm8isRWWkuUintR326,https://i.scdn.co/image/ab67616d0000b273807999c7296391c7cf0c2749,['Arijit Singh'],0.42,0.682,0.394,112.009,-6.565
"Nacchite Ye Panaina (From ""Dohchay"")",2toWUWC2dFY32gfUi6c6Ay,https://open.spotify.com/track/2toWUWC2dFY32gfUi6c6Ay,https://i.scdn.co/image/ab67616d0000b273f54c745fe55e6b23cbbfdfed,['Arijit Singh'],0.654,0.713,0.548,134.985,-7.566
Trillionaire (feat. Youngboy Never Broke Again),740kQ8xwSGloumdiKR5Cwz,https://open.spotify.com/track/740kQ8xwSGloumdiKR5Cwz,https://i.scdn.co/image/ab67616d0000b273935d8d5369bc55e74a39303e,"['Future', 'YoungBoy Never Broke Again']",0.768,0.526,0.473,139.999,-7.182
Mannequin (feat. Lil Tjay),5eJpwQyirY5EEdNadHKRAM,https://open.spotify.com/track/5eJpwQyirY5EEdNadHKRAM,https://i.scdn.co/image/ab67616d0000b27362a57823eced1cb4fd93b2c1,"['Pop Smoke', 'Lil Tjay']",0.683,0.799,0.752,145.128,-5.923
Reply (feat. Lil Uzi Vert),1njRzdfGNUY2RZU0lVO787,https://open.spotify.com/track/1njRzdfGNUY2RZU0lVO787,https://i.scdn.co/image/ab67616d0000b2731072a34d8c8d75e9b2545d8a,"['A Boogie Wit da Hoodie', 'Lil Uzi Vert']",0.512,0.623,0.219,112.15,-6.553
So Serious,1nedyHXLtbomGOaa7BOwYl,https://open.spotify.com/track/1nedyHXLtbomGOaa7BOwYl,https://i.scdn.co/image/ab67616d0000b2730d1f3930676c34a23dbf5c46,['Sam Smith'],0.568,0.519,0.38,91.892,-6.232
Kitzbuhel Mild Rain And Thunder 2 Redux - Redux,7y19aIuU0rRw4290rke252,https://open.spotify.com/track/7y19aIuU0rRw4290rke252,https://i.scdn.co/image/ab67616d0000b273421d2cc8d0e9096fe60e08a1,['The Alpinist'],0.0788,0.71,0.0065,84.75,-22.824
SAD - Imanbek xxx Remix,4x5ymi4akay9Fq5Xm1PW3E,https://open.spotify.com/track/4x5ymi4akay9Fq5Xm1PW3E,https://i.scdn.co/image/ab67616d0000b273c64869b1cf834c228839f25b,"['Rasster', 'Erin Bloomer', 'Imanbek']",0.746,0.757,0.499,124.992,-6.078
Celebration Station,25B5fGr9K0VdZJiRFsnMO4,https://open.spotify.com/track/25B5fGr9K0VdZJiRFsnMO4,https://i.scdn.co/image/ab67616d0000b27309969f5c11a466d0e459286a,['Lil Uzi Vert'],0.748,0.771,0.792,142.086,-4.156
